state_id,date_,hopital_beds,population
AK,2021-09-29,215,724357
AK,2021-09-30,207,724357
AK,2021-10-01,228,724357
AK,2021-10-02,229,724357
AK,2021-10-03,228,724357
AK,2021-10-04,196,724357
AK,2021-10-05,186,724357
AK,2021-10-06,200,724357
AK,2021-10-07,199,724357
AK,2021-10-08,198,724357
AK,2021-10-09,189,724357
AK,2021-10-10,201,724357
AK,2021-10-11,191,724357
AK,2021-10-12,201,724357
AK,2021-10-13,225,724357
AK,2021-10-14,216,724357
AK,2021-10-15,221,724357
AK,2021-10-16,222,724357
AK,2021-10-17,221,724357
AK,2021-10-18,213,724357
AK,2021-10-19,206,724357
AK,2021-10-20,240,724357
AK,2021-10-21,231,724357
AK,2021-10-22,234,724357
AK,2021-10-23,236,724357
AK,2021-10-24,245,724357
AK,2021-10-25,234,724357
AK,2021-10-26,235,724357
AK,2021-10-27,237,724357
AK,2021-10-28,234,724357
AK,2021-10-29,218,724357
AK,2021-10-30,199,724357
AK,2021-10-31,203,724357
AK,2021-11-01,194,724357
AK,2021-11-02,184,724357
AK,2021-11-03,174,724357
AK,2021-11-04,164,724357
AK,2021-11-05,155,724357
AK,2021-11-06,146,724357
AK,2021-11-07,144,724357
AK,2021-11-08,133,724357
AK,2021-11-09,141,724357
AK,2021-11-10,151,724357
AK,2021-11-11,135,724357
AK,2021-11-12,154,724357
AK,2021-11-13,150,724357
AK,2021-11-14,156,724357
AK,2021-11-15,145,724357
AK,2021-11-16,146,724357
AK,2021-11-17,142,724357
AK,2021-11-18,138,724357
AK,2021-11-19,126,724357
AK,2021-11-20,111,724357
AK,2021-11-21,109,724357
AK,2021-11-22,100,724357
AK,2021-11-23,95,724357
AK,2021-11-24,95,724357
AK,2021-11-25,91,724357
AK,2021-11-26,79,724357
AK,2021-11-27,81,724357
AK,2021-11-28,81,724357
AK,2021-11-29,81,724357
AK,2021-11-30,74,724357
AK,2021-12-01,75,724357
AK,2021-12-02,77,724357
AK,2021-12-03,79,724357
AK,2021-12-04,79,724357
AK,2021-12-05,82,724357
AK,2021-12-06,81,724357
AK,2021-12-07,84,724357
AK,2021-12-08,88,724357
AK,2021-12-09,78,724357
AK,2021-12-10,79,724357
AK,2021-12-11,71,724357
AK,2021-12-12,68,724357
AK,2021-12-13,68,724357
AK,2021-12-14,74,724357
AK,2021-12-15,71,724357
AK,2021-12-16,62,724357
