state_id,date_,new_deaths,population
AK,2021-09-29,4,724357
AK,2021-09-30,10,724357
AK,2021-10-01,1,724357
AK,2021-10-02,0,724357
AK,2021-10-03,0,724357
AK,2021-10-04,1,724357
AK,2021-10-05,3,724357
AK,2021-10-06,3,724357
AK,2021-10-07,5,724357
AK,2021-10-08,2,724357
AK,2021-10-09,0,724357
AK,2021-10-10,0,724357
AK,2021-10-11,4,724357
AK,2021-10-12,16,724357
AK,2021-10-13,0,724357
AK,2021-10-14,2,724357
AK,2021-10-15,3,724357
AK,2021-10-16,0,724357
AK,2021-10-17,0,724357
AK,2021-10-18,0,724357
AK,2021-10-19,66,724357
AK,2021-10-20,8,724357
AK,2021-10-21,1,724357
AK,2021-10-22,6,724357
AK,2021-10-23,0,724357
AK,2021-10-24,0,724357
AK,2021-10-25,5,724357
AK,2021-10-26,11,724357
AK,2021-10-27,2,724357
AK,2021-10-28,5,724357
AK,2021-10-29,4,724357
AK,2021-10-30,0,724357
AK,2021-10-31,0,724357
AK,2021-11-01,3,724357
AK,2021-11-02,6,724357
AK,2021-11-03,3,724357
AK,2021-11-04,3,724357
AK,2021-11-05,1,724357
AK,2021-11-06,0,724357
AK,2021-11-07,0,724357
AK,2021-11-08,51,724357
AK,2021-11-09,28,724357
AK,2021-11-10,9,724357
AK,2021-11-11,0,724357
AK,2021-11-12,0,724357
AK,2021-11-13,0,724357
AK,2021-11-14,0,724357
AK,2021-11-15,2,724357
AK,2021-11-16,7,724357
AK,2021-11-17,2,724357
AK,2021-11-18,0,724357
AK,2021-11-19,16,724357
AK,2021-11-20,0,724357
AK,2021-11-21,0,724357
AK,2021-11-22,0,724357
AK,2021-11-23,2,724357
AK,2021-11-24,6,724357
AK,2021-11-25,0,724357
AK,2021-11-26,7,724357
AK,2021-11-27,0,724357
AK,2021-11-28,0,724357
AK,2021-11-29,1,724357
AK,2021-11-30,2,724357
AK,2021-12-01,1,724357
AK,2021-12-02,2,724357
AK,2021-12-03,0,724357
AK,2021-12-04,0,724357
AK,2021-12-05,0,724357
AK,2021-12-06,0,724357
AK,2021-12-07,0,724357
AK,2021-12-08,3,724357
AK,2021-12-09,0,724357
AK,2021-12-10,0,724357
AK,2021-12-11,0,724357
AK,2021-12-12,0,724357
AK,2021-12-13,1,724357
AK,2021-12-14,0,724357
AK,2021-12-15,2,724357
AK,2021-12-16,0,724357
AK,2021-12-17,57,724357
AK,2021-12-18,0,724357
AK,2021-12-19,0,724357
AK,2021-12-20,0,724357
AK,2021-12-21,0,724357
AK,2021-12-22,30,724357
AK,2021-12-23,0,724357
AK,2021-12-24,0,724357
AK,2021-12-25,0,724357
AK,2021-12-26,0,724357
AK,2021-12-27,0,724357
AK,2021-12-28,0,724357
AK,2021-12-29,2,724357
AK,2021-12-30,0,724357
AK,2021-12-31,0,724357
AK,2022-01-01,0,724357
AK,2022-01-02,0,724357
AK,2022-01-03,1,724357
AK,2022-01-04,0,724357
AK,2022-01-05,0,724357
AK,2022-01-06,0,724357
AK,2022-01-07,1,724357
AK,2022-01-08,0,724357
AK,2022-01-09,0,724357
AK,2022-01-10,0,724357
AK,2022-01-11,0,724357
AK,2022-01-12,5,724357
AK,2022-01-13,0,724357
AK,2022-01-14,2,724357
AK,2022-01-15,0,724357
AK,2022-01-16,0,724357
AK,2022-01-17,0,724357
AK,2022-01-18,0,724357
AK,2022-01-19,64,724357
AK,2022-01-20,0,724357
AK,2022-01-21,0,724357
AK,2022-01-22,0,724357
AK,2022-01-23,0,724357
AK,2022-01-24,19,724357
AK,2022-01-25,0,724357
AK,2022-01-26,7,724357
AK,2022-01-27,0,724357
AK,2022-01-28,4,724357
AK,2022-01-29,0,724357
AK,2022-01-30,0,724357
AK,2022-01-31,0,724357
AK,2022-02-01,0,724357
AK,2022-02-02,7,724357
AK,2022-02-03,0,724357
AK,2022-02-04,0,724357
AK,2022-02-05,0,724357
AK,2022-02-06,0,724357
AK,2022-02-07,0,724357
AK,2022-02-08,0,724357
AK,2022-02-09,18,724357
AK,2022-02-10,0,724357
AK,2022-02-11,0,724357
AK,2022-02-12,0,724357
AK,2022-02-13,0,724357
AK,2022-02-14,0,724357
AK,2022-02-15,0,724357
AK,2022-02-16,27,724357
AK,2022-02-17,0,724357
AK,2022-02-18,0,724357
AK,2022-02-19,0,724357
AK,2022-02-20,0,724357
AK,2022-02-21,0,724357
AK,2022-02-22,0,724357
AK,2022-02-23,20,724357
AK,2022-02-24,0,724357
AK,2022-02-25,0,724357
AK,2022-02-26,0,724357
AK,2022-02-27,0,724357
AL,2021-03-01,2,4934193
AL,2021-03-02,60,4934193
AL,2021-03-03,38,4934193
AL,2021-03-04,65,4934193
AL,2021-03-05,28,4934193
AL,2021-03-06,27,4934193
AL,2021-03-07,0,4934193
AL,2021-03-08,0,4934193
AL,2021-03-09,38,4934193
AL,2021-03-10,36,4934193
AL,2021-03-11,52,4934193
AL,2021-03-12,25,4934193
AL,2021-03-13,28,4934193
AL,2021-03-14,0,4934193
AL,2021-03-15,2,4934193
AL,2021-03-16,8,4934193
AL,2021-03-17,26,4934193
AL,2021-03-18,28,4934193
AL,2021-03-19,34,4934193
AL,2021-03-20,11,4934193
AL,2021-03-21,0,4934193
AL,2021-03-22,0,4934193
AL,2021-03-23,14,4934193
AL,2021-03-24,37,4934193
AL,2021-03-25,17,4934193
AL,2021-03-26,19,4934193
AL,2021-03-27,3,4934193
AL,2021-03-28,0,4934193
AL,2021-03-29,0,4934193
AL,2021-03-30,1,4934193
AL,2021-03-31,27,4934193
AL,2021-04-01,0,4934193
AL,2021-04-02,54,4934193
AL,2021-04-03,30,4934193
AL,2021-04-04,0,4934193
AL,2021-04-05,1,4934193
AL,2021-04-06,14,4934193
AL,2021-04-07,0,4934193
AL,2021-04-08,23,4934193
AL,2021-04-09,11,4934193
AL,2021-04-10,26,4934193
AL,2021-04-11,0,4934193
AL,2021-04-12,0,4934193
AL,2021-04-13,10,4934193
AL,2021-04-14,6,4934193
AL,2021-04-15,8,4934193
AL,2021-04-16,3,4934193
AL,2021-04-17,51,4934193
AL,2021-04-18,0,4934193
AL,2021-04-19,0,4934193
AL,2021-04-20,8,4934193
AL,2021-04-21,9,4934193
AL,2021-04-22,17,4934193
AL,2021-04-23,16,4934193
AL,2021-04-24,11,4934193
AL,2021-04-25,0,4934193
AL,2021-04-26,1,4934193
AL,2021-04-27,2,4934193
AL,2021-04-28,25,4934193
AL,2021-04-29,8,4934193
AL,2021-04-30,9,4934193
AL,2021-05-01,17,4934193
AL,2021-05-02,0,4934193
AL,2021-05-03,0,4934193
AL,2021-05-04,0,4934193
AL,2021-05-05,17,4934193
AL,2021-05-06,16,4934193
AL,2021-05-07,20,4934193
AL,2021-05-08,12,4934193
AL,2021-05-09,0,4934193
AL,2021-05-10,0,4934193
AL,2021-05-11,7,4934193
AL,2021-05-12,12,4934193
