state_id,date_,infection_rate,requirements
AK,2021-09-16,1.15,f
AK,2021-09-17,1.16,f
AK,2021-09-18,1.15,f
AK,2021-09-19,1.15,f
AK,2021-09-20,1.14,f
AK,2021-09-21,1.13,f
AK,2021-09-22,1.12,f
AK,2021-09-23,1.11,f
AK,2021-09-24,1.09,f
AK,2021-09-25,1.08,f
AK,2021-09-26,1.06,f
AK,2021-09-27,1.04,f
AK,2021-09-28,1.02,f
AK,2021-09-29,1,f
AK,2021-09-30,0.98,f
AK,2021-10-01,0.97,f
AK,2021-10-02,0.95,f
AK,2021-10-03,0.94,f
AK,2021-10-04,0.93,f
AK,2021-10-05,0.93,f
AK,2021-10-06,0.92,f
AK,2021-10-07,0.92,f
AK,2021-10-08,0.92,f
AK,2021-10-09,0.93,f
AK,2021-10-10,0.93,f
AK,2021-10-11,0.93,f
AK,2021-10-12,0.94,f
AK,2021-10-13,0.94,f
AK,2021-10-14,0.94,f
AK,2021-10-15,0.94,f
AK,2021-10-16,0.94,f
AK,2021-10-17,0.94,f
AK,2021-10-18,0.94,f
AK,2021-10-19,0.94,f
AK,2021-10-20,0.94,f
AK,2021-10-21,0.93,f
AK,2021-10-22,0.93,f
AK,2021-10-23,0.92,f
AK,2021-10-24,0.92,f
AK,2021-10-25,0.91,f
AK,2021-10-26,0.91,f
AK,2021-10-27,0.9,f
AK,2021-10-28,0.9,f
AK,2021-10-29,0.89,f
AK,2021-10-30,0.89,f
AK,2021-10-31,0.88,f
AK,2021-11-01,0.88,f
AK,2021-11-02,0.88,f
AK,2021-11-03,0.87,f
AK,2021-11-04,0.87,f
AK,2021-11-05,0.87,f
AK,2021-11-06,0.87,f
AK,2021-11-07,0.86,f
AK,2021-11-08,0.86,f
AK,2021-11-09,0.86,f
AK,2021-11-10,0.86,f
AK,2021-11-11,0.86,f
AK,2021-11-12,0.86,f
AK,2021-11-13,0.86,f
AK,2021-11-14,0.86,f
AK,2021-11-15,0.86,f
AK,2021-11-16,0.86,f
AK,2021-11-17,0.86,f
AK,2021-11-18,0.86,f
AK,2021-11-19,0.86,f
AK,2021-11-20,0.85,f
AK,2021-11-21,0.85,f
AK,2021-11-22,0.85,f
AK,2021-11-23,0.85,f
AK,2021-11-24,0.85,f
AK,2021-11-25,0.85,f
AK,2021-11-26,0.85,f
AK,2021-11-27,0.85,f
AK,2021-11-28,0.85,f
AK,2021-11-29,0.85,f
AK,2021-11-30,0.85,f
AK,2021-12-01,0.85,f
AK,2021-12-02,0.85,f
AK,2021-12-03,0.85,f
AK,2021-12-04,0.85,f
AK,2021-12-05,0.85,f
AK,2021-12-06,0.85,f
AK,2021-12-07,0.85,f
AK,2021-12-08,0.85,f
AK,2021-12-09,0.85,f
AK,2021-12-10,0.86,f
AK,2021-12-11,0.86,f
AK,2021-12-12,0.87,f
AK,2021-12-13,0.88,f
AK,2021-12-14,0.89,f
AK,2021-12-15,0.91,f
AK,2021-12-16,0.93,f
AK,2021-12-17,0.96,f
AK,2021-12-18,0.99,f
AK,2021-12-19,1.02,f
AK,2021-12-20,1.06,f
AK,2021-12-21,1.1,f
AK,2021-12-22,1.14,f
AK,2021-12-23,1.19,f
AK,2021-12-24,1.23,f
AK,2021-12-25,1.28,f
AK,2021-12-26,1.32,f
AK,2021-12-27,1.36,f
AK,2021-12-28,1.4,f
AK,2021-12-29,1.44,f
AK,2021-12-30,1.47,f
AK,2021-12-31,1.49,f
AK,2022-01-01,1.51,f
AK,2022-01-02,1.53,f
AK,2022-01-03,1.54,f
AK,2022-01-04,1.54,f
AK,2022-01-05,1.55,f
AK,2022-01-06,1.54,f
AK,2022-01-07,1.53,f
AK,2022-01-08,1.52,f
AK,2022-01-09,1.5,f
AK,2022-01-10,1.48,f
AK,2022-01-11,1.46,f
AK,2022-01-12,1.43,f
AK,2022-01-13,1.41,f
AK,2022-01-14,1.38,f
AK,2022-01-15,1.35,f
AK,2022-01-16,1.31,f
AK,2022-01-17,1.28,f
AK,2022-01-18,1.25,f
AK,2022-01-19,1.21,f
AK,2022-01-20,1.18,f
AK,2022-01-21,1.15,f
AK,2022-01-22,1.11,f
AK,2022-01-23,1.08,f
AK,2022-01-24,1.04,f
AK,2022-01-25,1.01,f
AK,2022-01-26,0.98,f
AK,2022-01-27,0.95,f
AK,2022-01-28,0.92,f
AK,2022-01-29,0.89,f
AK,2022-01-30,0.86,f
AK,2022-01-31,0.83,f
AK,2022-02-01,0.8,f
AK,2022-02-02,0.78,f
AK,2022-02-03,0.76,f
AK,2022-02-04,0.73,f
AK,2022-02-05,0.71,f
AK,2022-02-06,0.7,f
AK,2022-02-07,0.68,f
AK,2022-02-08,0.66,f
AK,2022-02-09,0.65,f
AK,2022-02-10,0.64,f
AK,2022-02-11,0.63,f
AK,2022-02-12,0.63,f
AK,2022-02-13,0.63,f
AK,2022-02-14,0.63,f
AK,2022-02-15,0.63,f
AK,2022-02-16,0.64,f
AK,2022-02-17,0.65,f
AK,2022-02-18,0.66,f
AK,2022-02-19,0.67,f
AK,2022-02-20,0.68,f
AK,2022-02-21,0.69,f
AK,2022-02-22,0.7,f
AK,2022-02-23,0.71,f
AK,2022-02-24,0.72,f
AK,2022-02-25,0.73,f
