States,Date,Req,vaccinated_pct,monthly_new_cases_per_100k, infection_rate,hospital_beds_per_100k,new_deaths_per_100K
UT,2021-Mar-01,0,0,435.2154511,0.97,6.735585093,5.648226064
UT,2021-Apr-01,0,12,353.0292312,0.98,5.10454655,2.416353397
UT,2021-May-01,0,24,267.3695033,0.98,4.86291121,3.020441746
UT,2021-Jun-01,0,33,270.9336246,1.09,6.735585093,2.084104804
UT,2021-Jul-01,0,38,524.1372561,1.16,11.26624771,2.416353397
UT,2021-Aug-01,0,45,965.5446128,1.09,14.86057339,5.527408395
UT,2021-Sep-01,0,48,1331.74297,1.08,18.0018328,9.000916402
UT,2021-Oct-01,0,51,1250.613905,1.04,18.21326373,8.336419218
UT,2021-Nov-01,0,54,1387.439916,1.02,0,9.665413586
UT,2021-Dec-01,0,56,1244.754248,1.53,0,7.822944121
UT,2022-Jan-01,0,59,7507.066323,1.53,0,8.66866781
UT,2022-Feb-01,0,61,1101.04163,0.6,0,8.759281062
VA,2021-Mar-01,1,0,498.9083547,1.02,16.14368226,13.6680852
VA,2021-Apr-01,1,18,472.0370851,1.01,13.017224,6.020466098
VA,2021-May-01,1,34,185.3559717,0.84,10.40215668,4.834968913
VA,2021-Jun-01,1,45,55.81134788,1.12,5.950730969,2.661557406
VA,2021-Jul-01,1,52,163.2266909,1.35,5.62530037,1.359835007
VA,2021-Aug-01,1,55,837.4142912,1.31,20.92053856,3.602981642
VA,2021-Sep-01,1,57,1166.215422,1.08,24.83732828,10.55324945
VA,2021-Oct-01,1,61,674.04813,0.92,21.71087002,13.44725729
VA,2021-Nov-01,1,63,515.4007126,1.13,12.49421053,9.332884704
VA,2021-Dec-01,1,65,1736.427946,1.39,28.68438288,8.042784826
VA,2022-Jan-01,1,68,4964.350821,1.31,46.68766856,6.810797555
VA,2022-Feb-01,1,71,1056.022297,0.73,32.77551042,25.09302376
VT,2021-Mar-01,0,0,654.150575,1.11,5.455266016,3.690327011
VT,2021-Apr-01,0,19,589.9709748,1.03,5.776164017,3.048531009
VT,2021-May-01,0,38,203.4493326,0.88,3.20898001,1.444041004
VT,2021-Jun-01,0,56,30.48531009,0.89,1.283592004,0.160449
VT,2021-Jul-01,0,66,76.85507123,1.39,1.123143003,0.641796002
VT,2021-Aug-01,0,67,531.2466406,1.39,5.936613018,2.567184008
VT,2021-Sep-01,0,68,876.3724406,1.09,9.145593028,6.57840902
VT,2021-Oct-01,0,70,1047.571524,1.1,10.42918503,7.541103023
VT,2021-Nov-01,0,71,1576.090532,1.13,13.47771604,7.380654022
VT,2021-Dec-01,0,73,2315.760424,1.36,15.08220605,9.787389029
VT,2022-Jan-01,0,78,6421.971244,1.36,21.50016606,10.42918503
VT,2022-Feb-01,0,79,1211.550403,0.84,16.36579805,9.466491028
WA,2021-Mar-01,0,0,311.1861434,1.1,5.951051829,3.668105222
WA,2021-Apr-01,0,18,488.2042842,1.1,11.32495424,3.052479171
WA,2021-May-01,0,33,417.1892541,0.98,10.78628144,3.437245453
WA,2021-Jun-01,0,47,206.8760043,0.97,9.324169569,3.616803051
WA,2021-Jul-01,0,55,267.9255877,1.27,9.324169569,2.321423235
WA,2021-Aug-01,0,58,1093.736633,1.28,23.57334755,6.066481714
WA,2021-Sep-01,0,60,1227.147929,1.01,24.85590182,14.6467698
WA,2021-Oct-01,0,61,863.8387798,0.97,18.50725817,11.61994172
WA,2021-Nov-01,0,64,630.7730173,1.01,16.0575795,8.503334833
WA,2021-Dec-01,0,65,972.4711268,1.47,14.56981655,7.118176218
WA,2022-Jan-01,0,68,5580.073006,1.44,32.64100626,11.99188246
WA,2022-Feb-01,0,70,1076.755615,0.81,28.25467065,13.67202856
WI,2021-Mar-01,0,0,322.4268645,1.09,6.23666166,5.108936538
WI,2021-Apr-01,0,19,417.1216012,1.09,7.398560271,4.066645137
WI,2021-May-01,0,36,238.667644,0.93,7.227692828,4.425466767
WI,2021-Jun-01,0,45,54.72884191,1.07,4.254599324,4.647594443
WI,2021-Jul-01,0,50,163.1613211,1.46,5.091849794,2.768052572
WI,2021-Aug-01,0,52,799.2324634,1.33,17.49682614,3.024353737
WI,2021-Sep-01,0,54,1302.437082,1.13,21.44386406,7.278953061
WI,2021-Oct-01,0,57,1234.278059,1.06,22.67410965,9.021800977
WI,2021-Nov-01,0,58,1678.653018,1.11,26.72366805,10.08117912
WI,2021-Dec-01,0,60,2383.139484,1.27,32.3793804,19.94023057
WI,2022-Jan-01,0,62,5344.357701,1.3,43.04150883,20.52117987
