state_id,date,new_cases,vaccinated_ratio,hospital_beds,new_deaths,infection_rate,population,requirements
AK,2021-06-18,102,0.415,12,0,1.02,724357,f
AK,2021-06-19,0,0.416,13,0,1.03,724357,f
AK,2021-06-20,0,0.417,13,0,1.04,724357,f
AK,2021-06-21,87,0.418,14,0,1.05,724357,f
AK,2021-06-22,0,0.418,18,0,1.06,724357,f
AK,2021-06-23,71,0.419,16,1,1.06,724357,f
AK,2021-06-24,0,0.42,16,0,1.07,724357,f
AK,2021-06-25,42,0.421,14,0,1.09,724357,f
AK,2021-06-26,0,0.424,10,0,1.1,724357,f
AK,2021-06-27,0,0.426,9,0,1.11,724357,f
AK,2021-06-28,96,0.427,15,0,1.13,724357,f
AK,2021-06-29,0,0.428,14,0,1.15,724357,f
AK,2021-06-30,88,0.429,18,3,1.17,724357,f
AK,2021-07-01,0,0.43,19,0,1.19,724357,f
AK,2021-07-02,105,0.435,23,0,1.21,724357,f
AK,2021-07-03,0,0.436,22,0,1.24,724357,f
AK,2021-07-04,0,0.438,24,0,1.26,724357,f
AK,2021-07-05,0,0.44,27,0,1.29,724357,f
AK,2021-07-06,0,0.442,21,0,1.31,724357,f
AK,2021-07-07,212,0.442,30,0,1.33,724357,f
AK,2021-07-08,0,0.443,32,0,1.35,724357,f
AK,2021-07-09,132,0.443,34,2,1.37,724357,f
AK,2021-07-10,0,0.444,40,0,1.38,724357,f
AK,2021-07-11,0,0.445,46,0,1.39,724357,f
AK,2021-07-12,173,0.446,45,2,1.4,724357,f
AK,2021-07-13,0,0.446,56,0,1.4,724357,f
AK,2021-07-14,248,0.447,56,0,1.4,724357,f
AK,2021-07-15,0,0.447,59,0,1.4,724357,f
AK,2021-07-16,287,0.448,63,0,1.39,724357,f
AK,2021-07-17,0,0.449,60,0,1.38,724357,f
AK,2021-07-18,0,0.45,61,0,1.36,724357,f
AK,2021-07-19,455,0.45,64,0,1.35,724357,f
AK,2021-07-20,0,0.45,74,0,1.33,724357,f
AK,2021-07-21,473,0.451,70,1,1.32,724357,f
AK,2021-07-22,0,0.451,84,0,1.3,724357,f
AK,2021-07-23,439,0.452,94,2,1.28,724357,f
AK,2021-07-24,0,0.452,99,0,1.26,724357,f
AK,2021-07-25,0,0.452,97,0,1.24,724357,f
AK,2021-07-26,564,0.453,97,0,1.23,724357,f
AK,2021-07-27,0,0.453,99,0,1.21,724357,f
AK,2021-07-28,526,0.454,103,2,1.2,724357,f
AK,2021-07-29,0,0.454,111,0,1.19,724357,f
